date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:00:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Mar%202021%2003:59:54%20GMT	http://www.duplogreen.com.br/home	C:/My%20Web%20Sites/cbbf/www.duplogreen.com.br/home.0.delayed	(from )
01:00:05	118/118	---MC-	200	added ('OK')	text/plain	date:Mon,%2015%20Mar%202021%2004:00:02%20GMT	http://duplogreen.com.br/robots.txt		(from )
01:00:06	204741/204741	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2004:00:02%20GMT	http://duplogreen.com.br/home/	C:/My%20Web%20Sites/cbbf/duplogreen.com.br/home/index.html	(from )
01:00:08	13270/13270	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Mar%202021%2004:00:06%20GMT	http://duplogreen.com.br/home/e,baseURI	C:/My%20Web%20Sites/cbbf/duplogreen.com.br/home/e,baseURI	(from http://duplogreen.com.br/home/)
01:00:09	13270/13270	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Mar%202021%2004:00:08%20GMT	http://duplogreen.com.br/home/GET	C:/My%20Web%20Sites/cbbf/duplogreen.com.br/home/GET	(from http://duplogreen.com.br/home/)
01:00:10	13270/13270	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Mar%202021%2004:00:10%20GMT	http://duplogreen.com.br/home/Edge/	C:/My%20Web%20Sites/cbbf/duplogreen.com.br/home/Edge/index.html	(from http://duplogreen.com.br/home/)
01:00:10	114047/114047	---M--	200	added ('OK')	image/jpeg	etag:%22604a5c18-1be0a%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/uploads/2021/02/pexels-juan-salamanca-61135.jpg	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/uploads/2021/02/pexels-juan-salamanca-61135.jpg	(from http://duplogreen.com.br/home/)
01:00:11	196988/196988	---M--	200	added ('OK')	image/jpeg	etag:%22604a5c18-3020b%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/uploads/2021/02/pexels-riccardo-bresciani-41257.jpg	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/uploads/2021/02/pexels-riccardo-bresciani-41257.jpg	(from http://duplogreen.com.br/home/)
01:00:11	6003/6003	---M--	200	added ('OK')	image/png	etag:%22604a5c1a-180e%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/uploads/2021/03/Design_sem_nome__4_-removebg-preview-150x150.png	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/uploads/2021/03/Design_sem_nome__4_-removebg-preview-150x150.png	(from http://duplogreen.com.br/home/)
01:00:11	18006/18006	---M--	200	added ('OK')	image/png	etag:%22604a5c1a-46f1%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/uploads/2021/03/Design_sem_nome__4_-removebg-preview-300x300.png	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/uploads/2021/03/Design_sem_nome__4_-removebg-preview-300x300.png	(from http://duplogreen.com.br/home/)
01:00:13	13270/13270	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Mar%202021%2004:00:11%20GMT	http://duplogreen.com.br/home/POST	C:/My%20Web%20Sites/cbbf/duplogreen.com.br/home/POST	(from http://duplogreen.com.br/home/)
01:00:13	89496/89496	---MCZ	200	added ('OK')	application/javascript	etag:W/%22604a5c19-15e22%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-includes/js/jquery/nitro-min-d41d8cd98f00b204e9800998ecf8427e.jquery.min.js	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-includes/js/jquery/nitro-min-d41d8cd98f00b204e9800998ecf8427e.jquery.min.js	(from http://duplogreen.com.br/home/)
01:00:13	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%22604a5c19-2c6a%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-includes/js/jquery/nitro-min-d41d8cd98f00b204e9800998ecf8427e.jquery-migrate.min.js	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-includes/js/jquery/nitro-min-d41d8cd98f00b204e9800998ecf8427e.jquery-migrate.min.js	(from http://duplogreen.com.br/home/)
01:00:13	5629/5629	---MCZ	200	added ('OK')	application/javascript	etag:W/%22604a5c19-1686%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-includes/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.imagesloaded.min.js	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-includes/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.imagesloaded.min.js	(from http://duplogreen.com.br/home/)
01:00:13	19869/19869	---MCZ	200	added ('OK')	application/javascript	etag:W/%22604a5c19-4e43%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/themes/oceanwp/assets/js/third/nitro-min-d41d8cd98f00b204e9800998ecf8427e.magnific-popup.min.js	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/themes/oceanwp/assets/js/third/nitro-min-d41d8cd98f00b204e9800998ecf8427e.magnific-popup.min.js	(from http://duplogreen.com.br/home/)
01:00:14	1243/1243	---MCZ	200	added ('OK')	application/javascript	etag:W/%22604a5c19-57b%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/themes/oceanwp/assets/js/third/nitro-min-d41d8cd98f00b204e9800998ecf8427e.lightbox.min.js	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/themes/oceanwp/assets/js/third/nitro-min-d41d8cd98f00b204e9800998ecf8427e.lightbox.min.js	(from http://duplogreen.com.br/home/)
01:00:14	124238/124238	---MCZ	200	added ('OK')	application/javascript	etag:W/%22604a5c19-1e5e4%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/themes/oceanwp/assets/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.main.min.js	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/themes/oceanwp/assets/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.main.min.js	(from http://duplogreen.com.br/home/)
01:00:14	1426/1426	---MCZ	200	added ('OK')	application/javascript	etag:W/%22604a5c19-615%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-includes/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.wp-embed.min.js	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-includes/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.wp-embed.min.js	(from http://duplogreen.com.br/home/)
01:00:14	64122/64122	---MCZ	200	added ('OK')	application/javascript	etag:W/%22604a5c19-fb20%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/plugins/elementor/assets/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.frontend-modules.min.js	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/plugins/elementor/assets/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.frontend-modules.min.js	(from http://duplogreen.com.br/home/)
01:00:14	6595/6595	---MCZ	200	added ('OK')	application/javascript	etag:W/%22604a5c19-1a71%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/plugins/elementor-pro/assets/lib/sticky/nitro-min-d41d8cd98f00b204e9800998ecf8427e.jquery.sticky.min.js	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/plugins/elementor-pro/assets/lib/sticky/nitro-min-d41d8cd98f00b204e9800998ecf8427e.jquery.sticky.min.js	(from http://duplogreen.com.br/home/)
01:00:14	172191/172191	---MCZ	200	added ('OK')	application/javascript	etag:W/%22604a5c1a-2a140%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/plugins/elementor-pro/assets/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.frontend.min.js	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/plugins/elementor-pro/assets/js/nitro-min-d41d8cd98f00b204e9800998ecf8427e.frontend.min.js	(from http://duplogreen.com.br/home/)
01:00:15	20796/20796	---MCZ	200	added ('OK')	application/javascript	etag:W/%22604a5c1a-51c8%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-includes/js/jquery/ui/nitro-min-d41d8cd98f00b204e9800998ecf8427e.core.min.js	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-includes/js/jquery/ui/nitro-min-d41d8cd98f00b204e9800998ecf8427e.core.min.js	(from http://duplogreen.com.br/home/)
01:00:15	10863/10863	---MCZ	200	added ('OK')	application/javascript	etag:W/%22604a5c1a-2b12%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/plugins/elementor/assets/lib/dialog/nitro-min-d41d8cd98f00b204e9800998ecf8427e.dialog.min.js	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/plugins/elementor/assets/lib/dialog/nitro-min-d41d8cd98f00b204e9800998ecf8427e.dialog.min.js	(from http://duplogreen.com.br/home/)
01:00:15	12198/12198	---MCZ	200	added ('OK')	application/javascript	etag:W/%22604a5c1a-304f%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/plugins/elementor/assets/lib/waypoints/nitro-min-d41d8cd98f00b204e9800998ecf8427e.waypoints.min.js	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/plugins/elementor/assets/lib/waypoints/nitro-min-d41d8cd98f00b204e9800998ecf8427e.waypoints.min.js	(from http://duplogreen.com.br/home/)
01:00:15	139153/139153	---MCZ	200	added ('OK')	application/javascript	etag:W/%22604a5c1a-22034%22	https://cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/plugins/elementor/assets/lib/swiper/nitro-min-d41d8cd98f00b204e9800998ecf8427e.swiper.min.js	C:/My%20Web%20Sites/cbbf/cdn-bhiih.nitrocdn.com/VLneDzCmNstdvATfkPYWmcYbYNQlFMnu/assets/static/optimized/rev-6a282e2/wp-content/plugins/elementor/assets/lib/swiper/nitro-min-d41d8cd98f00b204e9800998ecf8427e.swiper.min.js	(from http://duplogreen.com.br/home/)
